,Team,Color
152,Abilene Christian,#4f2170
224,Air Force,#003087
141,Akron,#041E42
45,Alabama,#9e1b32
342,Alabama A&M,#660000
351,Alabama St.,#c99700
298,Albany,#461660
335,Alcorn St.,#ce8e00
260,American,#143d8d
194,Appalachian St.,#222
37,Arizona,#CC0033
35,Arizona St.,#8c1d40
53,Arkansas,#9d2235
352,Arkansas Pine Bluff,#eeb310
219,Arkansas St.,#cc092f
271,Army,#FFD530
65,Auburn,#0C2340
137,Austin Peay,#c41e3a
88,BYU,#002E5D
163,Ball St.,#BA0C2F
0,Baylor,#003015
290,Bellarmine,#850024
93,Belmont,#c8102e
350,Bethune Cookman,#f2a900
349,Binghamton,#005a43
104,Boise St.,#D64309
105,Boston College,#98002e
176,Boston University,#cc0000
164,Bowling Green,#FE5000
126,Bradley,#A50000
227,Brown,#4E3629
307,Bryant,#b4975b
239,Bucknell,#e87722
121,Buffalo,#005BBB
55,Butler,#13294b
297,Cal Baptist,#002554
322,Cal Poly,#003831
187,Cal St. Bakersfield,#FBD30D
325,Cal St. Fullerton,#00274C
314,Cal St. Northridge,#D00D2D
118,California,#003262
252,Campbell,#f58025
225,Canisius,#0C2340
256,Central Arkansas,#4f2d7f
331,Central Connecticut,#00539b
222,Central Michigan,#6A0032
175,Charleston,#800000
263,Charleston Southern,#a8996e
173,Charlotte,#046A38
155,Chattanooga,#00386b
353,Chicago St.,#006666
58,Cincinnati,#E00122
39,Clemson,#F56600
213,Cleveland St.,#006747
170,Coastal Carolina,#006f71
142,Colgate,#821019
60,Colorado,#CFB87C
116,Colorado St.,#1E4D2B
302,Columbia,#003865
42,Connecticut,#000e2f
339,Coppin St.,#003056
195,Cornell,#B31B1B
12,Creighton,#005ca9
306,Dartmouth,#046A38
79,Davidson,#ac1a2f
48,Dayton,#CE1141
84,DePaul,#005EB8
220,Delaware,#00539f
347,Delaware St.,#ee3124
292,Denver,#8b2332
211,Detroit,#A6093D
320,Dixie St.,#98171C
156,Drake,#004477
202,Drexel,#00437b
2,Duke,#003087
83,Duquesne,#041E42
123,East Carolina,#592A8A
168,East Tennessee St.,#041e42
167,Eastern Illinois,#919295
216,Eastern Kentucky,#8a0039
151,Eastern Michigan,#006633
139,Eastern Washington,#a10022
208,Elon,#73000a
268,Evansville,#52237f
190,FIU,#081E3F
258,Fairfield,#C8102E
230,Fairleigh Dickinson,#28334a
23,Florida,#0021a5
319,Florida A&M,#ee7624
223,Florida Atlantic,#003366
253,Florida Gulf Coast,#002d72
18,Florida St.,#782f40
165,Fordham,#860038
149,Fresno St.,#db0032
78,Furman,#201547
248,Gardner Webb,#bf2f37
111,George Mason,#006633
192,George Washington,#e2cb92
85,Georgetown,#041E42
91,Georgia,#ba0c2f
237,Georgia Southern,#011e41
107,Georgia St.,#0039A6
72,Georgia Tech,#B3A369
1,Gonzaga,#041e42
329,Grambling St.,#eaa921
162,Grand Canyon,#522398
264,Green Bay,#006747
336,Hampton,#0060a9
303,Hartford,#c02427
166,Harvard,#A41034
232,Hawaii,#024731
301,High Point,#330072
147,Hofstra,#0b1e73
343,Holy Cross,#602d89
21,Houston,#C8102E
348,Houston Baptist,#1c4e9d
255,Howard,#003a63
249,IUPUI,#9D2235
333,Idaho,#B3A369
299,Idaho St.,#FF671F
17,Illinois,#13294b
295,Illinois Chicago,#ac1e2d
193,Illinois St.,#ce1126
345,Incarnate Word,#cb333b
25,Indiana,#990000
133,Indiana St.,#0142BC
270,Iona,#6F2C3F
11,Iowa,#ffcd00
66,Iowa St.,#c8102e
304,Jackson St.,#002147
310,Jacksonville,#004e44
294,Jacksonville St.,#cc0000
269,James Madison,#450084
4,Kansas,#0051ba
112,Kansas St.,#512888
344,Kennesaw St.,#FDBB30
177,Kent St.,#002664
10,Kentucky,#0033a0
279,LIU,#69b3e7
36,LSU,#461D7C
150,La Salle,#ffcc00
228,Lafayette,#a8996e
244,Lamar,#dc0032
293,Lehigh,#653600
161,Liberty,#002d62
172,Lipscomb,#331e54
131,Little Rock,#6e2639
217,Long Beach St.,#ffc72a
327,Longwood,#15213b
157,Louisiana,#ce181e
291,Louisiana Monroe,#800029
108,Louisiana Tech,#002F8B
13,Louisville,#ad0000
46,Loyola Chicago,#922247
254,Loyola MD,#00694e
145,Loyola Marymount,#b62b3a
338,Maine,#003263
272,Manhattan,#00703C
241,Marist,#C8102E
33,Marquette,#003366
95,Marshall,#00B140
50,Maryland,#E03a3e
355,Maryland Eastern Shore,#862633
124,Massachusetts,#971B2F
315,McNeese St.,#00529b
